Active Lives Children and Young People Survey Academic Year 21/22
Loneliness (years 7-11)
",""Often / always"",""Some of the time"",""Occasionally"",""Hardly ever"",""Never"""
"County Durham AP,""14.1%"",""25.2%"",""26.9%"",""24.6%"",""9.2%"""
"Essex AP,""10.8%"",""21.4%"",""27.8%"",""29.9%"",""10.1%"""
"Gloucestershire AP,""10.3%"",""19.1%"",""28.5%"",""32.4%"",""9.8%"""
"Greater Manchester AP,""11.0%"",""21.4%"",""26.6%"",""30.0%"",""10.9%"""
"Hampshire and Isle of Wight AP,""13.6%"",""25.7%"",""23.1%"",""29.2%"",""8.4%"""
"Herefordshire and Worcestershire AP,""14.3%"",""23.0%"",""28.5%"",""25.7%"",""8.5%"""
"Hertfordshire AP,""6.9%"",""21.5%"",""26.0%"",""35.9%"",""9.7%"""
"Humber AP,""12.4%"",""24.4%"",""23.0%"",""28.9%"",""11.4%"""
"Kent AP,""9.6%"",""24.4%"",""28.7%"",""28.1%"",""9.1%"""
"Lancashire AP,""9.2%"",""23.5%"",""25.0%"",""29.7%"",""12.6%"""
"Leicester, Leicestershire and Rutland AP,""12.8%"",""23.3%"",""25.5%"",""28.0%"",""10.3%"""
"Lincolnshire AP,""8.4%"",""22.7%"",""28.0%"",""31.4%"",""9.6%"""
"London AP,""11.9%"",""21.8%"",""25.8%"",""29.8%"",""10.7%"""
"Merseyside AP,""-"",""26.2%"",""26.5%"",""27.6%"",""-"""
"Norfolk AP,""11.7%"",""27.9%"",""29.7%"",""26.5%"",""4.2%"""
"North Yorkshire AP,""10.5%"",""23.2%"",""28.5%"",""30.3%"",""7.5%"""
"Northamptonshire AP,""10.8%"",""25.9%"",""24.6%"",""29.8%"",""8.9%"""
"Northumberland AP,""-"",""-"",""-"",""-"",""-"""
"Nottinghamshire AP,""15.2%"",""26.1%"",""24.4%"",""23.9%"",""10.4%"""
"Oxfordshire AP,""14.0%"",""26.6%"",""26.9%"",""25.2%"",""7.3%"""
"Shropshire and Telford and the Wrekin AP,""12.3%"",""24.6%"",""26.4%"",""26.8%"",""9.8%"""
"Somerset AP,""6.7%"",""20.7%"",""30.5%"",""32.1%"",""10.0%"""
"South Yorkshire AP,""11.5%"",""25.9%"",""24.4%"",""29.6%"",""8.6%"""
"Staffordshire and Stoke-on-Trent AP,""10.8%"",""25.7%"",""22.7%"",""28.4%"",""12.3%"""
"Suffolk AP,""12.0%"",""24.0%"",""26.3%"",""29.4%"",""8.3%"""
"Surrey AP,""10.6%"",""25.3%"",""27.8%"",""28.0%"",""8.3%"""
"Sussex AP,""13.1%"",""24.6%"",""26.8%"",""27.9%"",""7.5%"""
"Tees Valley AP,""11.4%"",""24.6%"",""24.6%"",""28.4%"",""11.0%"""
"Tyne and Wear AP,""9.4%"",""23.0%"",""26.5%"",""32.5%"",""8.7%"""
"(Greater) Warwickshire AP,""-"",""19.5%"",""20.8%"",""41.7%"",""12.3%"""
"Wesport AP,""9.9%"",""25.6%"",""25.1%"",""30.9%"",""8.5%"""
"West Yorkshire AP,""9.6%"",""22.1%"",""25.6%"",""29.8%"",""12.9%"""
"Wiltshire & Swindon AP,""9.5%"",""25.9%"",""30.8%"",""27.6%"",""6.2%"""
"Adur LA,""-"",""-"",""-"",""-"",""-"""
"Amber Valley LA,""-"",""-"",""-"",""-"",""-"""
"Arun LA,""-"",""-"",""-"",""-"",""-"""
"Ashfield LA,""-"",""-"",""-"",""-"",""-"""
"Ashford LA,""-"",""-"",""-"",""-"",""-"""
"Babergh LA,""-"",""-"",""-"",""-"",""-"""
"Barking and Dagenham LA,""-"",""-"",""-"",""-"",""-"""
"Barnet LA,""-"",""-"",""-"",""-"",""-"""
"Barnsley LA,""-"",""-"",""-"",""-"",""-"""
"Basildon LA,""-"",""19.0%"",""29.2%"",""31.4%"",""13.8%"""
"Basingstoke and Deane LA,""15.0%"",""25.7%"",""26.1%"",""25.7%"",""-"""
"Bassetlaw LA,""-"",""-"",""-"",""-"",""-"""
"Bath and North East Somerset LA,""-"",""-"",""-"",""-"",""-"""
"Bedford LA,""11.5%"",""24.8%"",""29.5%"",""29.6%"",""4.7%"""
"Bexley LA,""-"",""25.3%"",""24.7%"",""26.5%"",""-"""
"Birmingham LA,""-"",""21.6%"",""19.8%"",""33.2%"",""16.8%"""
"Blaby LA,""-"",""-"",""-"",""-"",""-"""
"Blackburn with Darwen LA,""11.1%"",""18.5%"",""22.7%"",""30.6%"",""17.1%"""
"Blackpool LA,""12.8%"",""25.3%"",""23.8%"",""26.1%"",""12.0%"""
"Bolsover LA,""-"",""-"",""-"",""-"",""-"""
"Bolton LA,""-"",""-"",""-"",""-"",""-"""
"Boston LA,""-"",""-"",""-"",""-"",""-"""
"Bournemouth, Christchurch and Poole LA,""11.6%"",""27.3%"",""29.2%"",""25.3%"",""6.6%"""
"Bracknell Forest LA,""-"",""-"",""-"",""-"",""-"""
"Bradford LA,""-"",""-"",""-"",""-"",""-"""
"Braintree LA,""11.6%"",""26.3%"",""26.5%"",""28.3%"",""-"""
"Breckland LA,""-"",""-"",""-"",""-"",""-"""
"Brent LA,""-"",""-"",""-"",""-"",""-"""
"Brentwood LA,""11.6%"",""24.3%"",""25.0%"",""30.3%"",""8.8%"""
"Brighton and Hove LA,""-"",""-"",""-"",""-"",""-"""
"Bristol, City of LA,""-"",""-"",""-"",""-"",""-"""
"Broadland LA,""-"",""-"",""-"",""-"",""-"""
"Bromley LA,""-"",""-"",""-"",""-"",""-"""
"Bromsgrove LA,""-"",""-"",""-"",""-"",""-"""
"Broxbourne LA,""-"",""-"",""-"",""-"",""-"""
"Broxtowe LA,""-"",""-"",""-"",""-"",""-"""
"Buckinghamshire LA,""-"",""22.8%"",""29.0%"",""30.8%"",""9.5%"""
"Burnley LA,""-"",""-"",""-"",""-"",""-"""
"Bury LA,""-"",""-"",""-"",""-"",""-"""
"Calderdale LA,""-"",""20.3%"",""28.5%"",""28.5%"",""-"""
"Cambridge LA,""-"",""-"",""-"",""-"",""-"""
"Camden LA,""-"",""-"",""-"",""-"",""-"""
"Cannock Chase LA,""-"",""-"",""-"",""-"",""-"""
"Canterbury LA,""-"",""28.9%"",""29.8%"",""17.7%"",""-"""
"Castle Point LA,""-"",""21.2%"",""27.3%"",""29.3%"",""-"""
"Central Bedfordshire LA,""12.5%"",""24.6%"",""27.4%"",""28.8%"",""6.7%"""
"Charnwood LA,""-"",""-"",""-"",""-"",""-"""
"Chelmsford LA,""11.6%"",""25.0%"",""28.3%"",""25.4%"",""9.7%"""
"Cheltenham LA,""-"",""-"",""-"",""-"",""-"""
"Cherwell LA,""-"",""27.0%"",""27.7%"",""27.1%"",""-"""
"Cheshire East LA,""12.6%"",""23.5%"",""24.2%"",""32.1%"",""-"""
"Cheshire West and Chester LA,""-"",""-"",""-"",""-"",""-"""
"Chesterfield LA,""21.1%"",""25.9%"",""25.6%"",""20.1%"",""-"""
"Chichester LA,""-"",""-"",""-"",""-"",""-"""
"Chorley LA,""7.7%"",""19.0%"",""25.3%"",""34.0%"",""13.9%"""
"Colchester LA,""9.4%"",""25.2%"",""33.4%"",""25.0%"",""7.0%"""
"Cornwall and Isles of Scilly LA,""16.7%"",""26.0%"",""26.7%"",""22.1%"",""8.5%"""
"Cotswold LA,""-"",""-"",""-"",""-"",""-"""
"County Durham LA,""14.1%"",""25.2%"",""26.9%"",""24.6%"",""9.2%"""
"Coventry LA,""-"",""-"",""-"",""-"",""-"""
"Crawley LA,""-"",""-"",""-"",""-"",""-"""
"Croydon LA,""-"",""-"",""-"",""-"",""-"""
"Cumberland LA,""11.5%"",""20.5%"",""26.0%"",""30.9%"",""11.1%"""
"Dacorum LA,""8.3%"",""21.4%"",""25.4%"",""33.5%"",""11.3%"""
"Darlington LA,""-"",""34.1%"",""24.5%"",""22.0%"",""-"""
"Dartford LA,""-"",""21.4%"",""25.0%"",""32.3%"",""-"""
"Derby LA,""14.3%"",""24.5%"",""22.8%"",""26.6%"",""11.7%"""
"Doncaster LA,""-"",""-"",""24.2%"",""27.8%"",""-"""
"Dorset LA,""15.0%"",""28.6%"",""30.3%"",""19.9%"",""6.2%"""
"Dover LA,""-"",""-"",""-"",""-"",""-"""
"Dudley LA,""10.1%"",""24.4%"",""23.3%"",""31.3%"",""10.8%"""
"Ealing LA,""-"",""-"",""-"",""-"",""-"""
"East Cambridgeshire LA,""-"",""-"",""-"",""-"",""-"""
"East Devon LA,""-"",""-"",""-"",""-"",""-"""
"East Hampshire LA,""13.8%"",""26.3%"",""25.7%"",""26.1%"",""-"""
"East Hertfordshire LA,""-"",""22.2%"",""27.3%"",""27.9%"",""-"""
"East Lindsey LA,""-"",""26.3%"",""30.0%"",""27.1%"",""-"""
"East Riding of Yorkshire LA,""10.6%"",""24.8%"",""20.8%"",""35.4%"",""-"""
"East Staffordshire LA,""-"",""-"",""-"",""-"",""-"""
"East Suffolk LA,""13.9%"",""25.8%"",""26.3%"",""24.8%"",""9.3%"""
"Eastbourne LA,""-"",""-"",""-"",""-"",""-"""
"Eastleigh LA,""-"",""-"",""-"",""-"",""-"""
"Elmbridge LA,""-"",""-"",""-"",""-"",""-"""
"Enfield LA,""-"",""-"",""-"",""-"",""-"""
"Epping Forest LA,""9.5%"",""22.5%"",""26.9%"",""31.2%"",""9.8%"""
"Epsom and Ewell LA,""-"",""-"",""-"",""-"",""-"""
"Erewash LA,""16.2%"",""26.0%"",""19.9%"",""32.2%"",""-"""
"Exeter LA,""-"",""-"",""-"",""-"",""-"""
"Fareham LA,""-"",""-"",""-"",""-"",""-"""
"Fenland LA,""-"",""-"",""-"",""-"",""-"""
"Forest of Dean LA,""-"",""-"",""-"",""-"",""-"""
"Fylde LA,""-"",""-"",""-"",""-"",""-"""
"Gateshead LA,""-"",""-"",""-"",""-"",""-"""
"Gedling LA,""-"",""-"",""-"",""-"",""-"""
"Gloucester LA,""-"",""-"",""-"",""-"",""-"""
"Gosport LA,""-"",""-"",""-"",""-"",""-"""
"Gravesham LA,""-"",""26.8%"",""16.9%"",""30.8%"",""15.0%"""
"Great Yarmouth LA,""-"",""-"",""-"",""-"",""-"""
"Greenwich LA,""-"",""-"",""-"",""-"",""-"""
"Guildford LA,""-"",""-"",""-"",""-"",""-"""
"Hackney and City of London LA,""-"",""-"",""-"",""-"",""-"""
"Hammersmith and Fulham LA,""-"",""-"",""-"",""-"",""-"""
"Harborough LA,""-"",""-"",""-"",""-"",""-"""
"Haringey LA,""-"",""-"",""-"",""-"",""-"""
"Harlow LA,""14.1%"",""26.2%"",""30.8%"",""21.1%"",""-"""
"Harrow LA,""-"",""-"",""-"",""-"",""-"""
"Hart LA,""-"",""-"",""-"",""-"",""-"""
"Hartlepool LA,""-"",""-"",""-"",""-"",""-"""
"Hastings LA,""-"",""-"",""-"",""-"",""-"""
"Havant LA,""-"",""-"",""-"",""-"",""-"""
"Havering LA,""-"",""-"",""-"",""-"",""-"""
"Herefordshire, County of LA,""12.4%"",""19.9%"",""29.1%"",""30.5%"",""8.0%"""
"Hertsmere LA,""-"",""24.1%"",""29.9%"",""31.6%"",""-"""
"High Peak LA,""-"",""-"",""-"",""-"",""-"""
"Hillingdon LA,""-"",""24.5%"",""22.5%"",""33.7%"",""-"""
"Hinckley and Bosworth LA,""-"",""-"",""-"",""-"",""-"""
"Horsham LA,""-"",""-"",""-"",""-"",""-"""
"Hounslow LA,""-"",""-"",""-"",""-"",""-"""
"Huntingdonshire LA,""-"",""-"",""-"",""-"",""-"""
"Hyndburn LA,""-"",""-"",""-"",""-"",""-"""
"Ipswich LA,""-"",""-"",""-"",""-"",""-"""
"Isle of Wight LA,""-"",""-"",""-"",""-"",""-"""
"Islington LA,""-"",""-"",""-"",""-"",""-"""
"Kensington and Chelsea LA,""-"",""-"",""-"",""-"",""-"""
"Kings Lynn and West Norfolk LA,""-"",""-"",""-"",""-"",""-"""
"Kingston upon Hull, City of LA,""11.5%"",""19.1%"",""31.2%"",""25.7%"",""12.5%"""
"Kingston upon Thames LA,""-"",""-"",""-"",""-"",""-"""
"Kirklees LA,""-"",""-"",""-"",""-"",""-"""
"Knowsley LA,""-"",""-"",""-"",""-"",""-"""
"Lambeth LA,""-"",""-"",""-"",""-"",""-"""
"Lancaster LA,""-"",""-"",""-"",""-"",""-"""
"Leeds LA,""-"",""21.4%"",""23.9%"",""31.1%"",""14.3%"""
"Leicester LA,""-"",""-"",""24.6%"",""30.8%"",""-"""
"Lewes LA,""-"",""-"",""-"",""-"",""-"""
"Lewisham LA,""-"",""-"",""-"",""-"",""-"""
"Lichfield LA,""-"",""-"",""-"",""-"",""-"""
"Lincoln LA,""-"",""19.7%"",""28.3%"",""35.8%"",""-"""
"Liverpool LA,""-"",""-"",""-"",""-"",""-"""
"Luton LA,""10.6%"",""24.4%"",""24.5%"",""27.5%"",""13.0%"""
"Maidstone LA,""-"",""-"",""-"",""-"",""-"""
"Maldon LA,""-"",""-"",""-"",""-"",""-"""
"Malvern Hills LA,""-"",""-"",""-"",""-"",""-"""
"Manchester LA,""-"",""-"",""-"",""-"",""-"""
"Mansfield LA,""-"",""-"",""-"",""-"",""-"""
"Medway LA,""11.2%"",""25.0%"",""29.0%"",""24.1%"",""10.7%"""
"Melton LA,""-"",""-"",""-"",""-"",""-"""
"Merton LA,""-"",""-"",""-"",""-"",""-"""
"Mid Devon LA,""-"",""-"",""-"",""-"",""-"""
"Mid Suffolk LA,""-"",""-"",""-"",""-"",""-"""
"Mid Sussex LA,""-"",""-"",""-"",""-"",""-"""
"Middlesbrough LA,""14.0%"",""22.2%"",""22.6%"",""26.9%"",""14.3%"""
"Milton Keynes LA,""-"",""-"",""33.6%"",""27.3%"",""-"""
"Mole Valley LA,""-"",""-"",""-"",""-"",""-"""
"New Forest LA,""-"",""24.8%"",""25.0%"",""27.6%"",""-"""
"Newark and Sherwood LA,""-"",""-"",""-"",""-"",""-"""
"Newcastle upon Tyne LA,""-"",""-"",""-"",""-"",""-"""
"Newcastle-under-Lyme LA,""-"",""-"",""-"",""-"",""-"""
"Newham LA,""-"",""-"",""-"",""-"",""-"""
"North Devon LA,""-"",""-"",""-"",""-"",""-"""
"North East Derbyshire LA,""-"",""-"",""-"",""-"",""-"""
"North East Lincolnshire LA,""-"",""-"",""-"",""-"",""-"""
"North Hertfordshire LA,""-"",""-"",""-"",""-"",""-"""
"North Kesteven LA,""-"",""-"",""-"",""-"",""-"""
"North Lincolnshire LA,""13.5%"",""26.0%"",""21.1%"",""27.4%"",""12.0%"""
"North Norfolk LA,""-"",""-"",""-"",""-"",""-"""
"North Somerset LA,""-"",""-"",""-"",""-"",""-"""
"North Tyneside LA,""-"",""-"",""-"",""-"",""-"""
"North Warwickshire LA,""-"",""-"",""-"",""-"",""-"""
"North Yorkshire LA,""11.7%"",""25.4%"",""27.5%"",""30.0%"",""-"""
"North West Leicestershire LA,""-"",""-"",""-"",""-"",""-"""
"Northumberland LA,""-"",""-"",""-"",""-"",""-"""
"Norwich LA,""14.0%"",""33.0%"",""28.3%"",""22.1%"",""-"""
"Nottingham LA,""-"",""-"",""-"",""-"",""-"""
"Nuneaton and Bedworth LA,""-"",""-"",""-"",""-"",""-"""
"Oadby and Wigston LA,""-"",""-"",""-"",""-"",""-"""
"Oldham LA,""-"",""-"",""-"",""-"",""-"""
"Oxford LA,""-"",""-"",""-"",""-"",""-"""
"Pendle LA,""-"",""-"",""-"",""-"",""-"""
"Peterborough LA,""-"",""22.9%"",""23.3%"",""29.5%"",""14.6%"""
"Plymouth LA,""14.5%"",""22.9%"",""17.6%"",""30.9%"",""14.1%"""
"Portsmouth LA,""-"",""-"",""-"",""-"",""-"""
"Preston LA,""-"",""18.1%"",""24.3%"",""30.2%"",""15.4%"""
"Reading LA,""-"",""-"",""-"",""-"",""-"""
"Redbridge LA,""-"",""-"",""-"",""-"",""-"""
"Redcar and Cleveland LA,""-"",""-"",""-"",""-"",""-"""
"Redditch LA,""20.9%"",""24.6%"",""26.2%"",""19.9%"",""8.4%"""
"Reigate and Banstead LA,""-"",""-"",""-"",""-"",""-"""
"Ribble Valley LA,""5.4%"",""28.1%"",""21.2%"",""31.7%"",""13.6%"""
"Richmond upon Thames LA,""-"",""-"",""-"",""-"",""-"""
"Rochdale LA,""-"",""-"",""-"",""-"",""-"""
"Rochford LA,""-"",""-"",""-"",""-"",""-"""
"Rossendale LA,""-"",""-"",""-"",""-"",""-"""
"Rother LA,""-"",""-"",""-"",""-"",""-"""
"Rotherham LA,""14.1%"",""25.9%"",""29.8%"",""23.7%"",""-"""
"Rugby LA,""-"",""-"",""-"",""-"",""-"""
"Runnymede LA,""-"",""-"",""-"",""-"",""-"""
"Rushcliffe LA,""-"",""-"",""-"",""-"",""-"""
"Rushmoor LA,""-"",""-"",""-"",""-"",""-"""
"Rutland LA,""-"",""-"",""-"",""-"",""-"""
"Salford LA,""-"",""-"",""-"",""-"",""-"""
"Sandwell LA,""8.7%"",""24.8%"",""22.3%"",""27.9%"",""16.5%"""
"Sefton LA,""-"",""-"",""-"",""-"",""-"""
"Sevenoaks LA,""-"",""-"",""-"",""-"",""-"""
"Sheffield LA,""-"",""26.3%"",""21.6%"",""33.4%"",""8.8%"""
"Shropshire LA,""11.4%"",""27.7%"",""26.5%"",""26.9%"",""7.5%"""
"Slough LA,""-"",""-"",""-"",""-"",""-"""
"Solihull LA,""-"",""-"",""-"",""-"",""-"""
"Somerset LA,""6.7%"",""20.7%"",""30.5%"",""32.1%"",""10.0%"""
"South Cambridgeshire LA,""13.5%"",""23.3%"",""28.3%"",""28.6%"",""-"""
"South Derbyshire LA,""-"",""-"",""-"",""-"",""-"""
"South Gloucestershire LA,""10.2%"",""26.3%"",""23.1%"",""30.6%"",""9.7%"""
"South Hams LA,""-"",""-"",""-"",""-"",""-"""
"South Holland LA,""-"",""-"",""-"",""-"",""-"""
"South Kesteven LA,""9.0%"",""27.9%"",""23.5%"",""29.4%"",""10.2%"""
"South Norfolk LA,""-"",""-"",""-"",""-"",""-"""
"South Oxfordshire LA,""13.3%"",""25.0%"",""31.3%"",""21.1%"",""-"""
"South Ribble LA,""12.0%"",""24.5%"",""29.3%"",""24.8%"",""9.4%"""
"South Staffordshire LA,""-"",""-"",""-"",""-"",""-"""
"South Tyneside LA,""-"",""-"",""-"",""-"",""-"""
"Southampton LA,""-"",""-"",""-"",""-"",""-"""
"Southend-on-Sea LA,""7.7%"",""22.4%"",""28.3%"",""30.8%"",""10.8%"""
"Southwark LA,""-"",""-"",""-"",""-"",""-"""
"Spelthorne LA,""-"",""-"",""-"",""-"",""-"""
"St Albans LA,""3.2%"",""17.7%"",""25.4%"",""44.6%"",""9.1%"""
"Stafford LA,""-"",""-"",""-"",""-"",""-"""
"Staffordshire Moorlands LA,""-"",""-"",""-"",""-"",""-"""
"Stevenage LA,""11.7%"",""26.5%"",""26.2%"",""27.0%"",""8.7%"""
"Stockport LA,""11.1%"",""25.0%"",""27.1%"",""29.2%"",""7.6%"""
"Stockton-on-Tees LA,""-"",""22.0%"",""26.6%"",""32.2%"",""-"""
"Stoke-on-Trent LA,""13.5%"",""22.6%"",""20.8%"",""29.6%"",""13.6%"""
"Stratford-on-Avon LA,""-"",""-"",""-"",""-"",""-"""
"Stroud LA,""-"",""20.1%"",""26.5%"",""29.2%"",""-"""
"Sunderland LA,""-"",""-"",""-"",""-"",""-"""
"Surrey Heath LA,""-"",""-"",""-"",""-"",""-"""
"Sutton LA,""10.7%"",""24.3%"",""30.1%"",""25.8%"",""-"""
"Swale LA,""-"",""-"",""-"",""-"",""-"""
"Swindon LA,""-"",""-"",""-"",""-"",""-"""
"Tameside LA,""-"",""-"",""-"",""-"",""-"""
"Tamworth LA,""-"",""-"",""-"",""-"",""-"""
"Tandridge LA,""-"",""-"",""-"",""-"",""-"""
"Teignbridge LA,""-"",""-"",""-"",""-"",""-"""
"Telford and Wrekin LA,""13.0%"",""22.5%"",""26.3%"",""26.7%"",""11.4%"""
"Tendring LA,""-"",""27.9%"",""29.9%"",""19.8%"",""-"""
"Test Valley LA,""-"",""-"",""-"",""-"",""-"""
"Tewkesbury LA,""-"",""-"",""-"",""-"",""-"""
"Thanet LA,""-"",""20.9%"",""30.1%"",""32.5%"",""-"""
"Three Rivers LA,""-"",""-"",""-"",""-"",""-"""
"Thurrock LA,""14.8%"",""23.0%"",""25.5%"",""24.8%"",""-"""
"Tonbridge and Malling LA,""-"",""-"",""-"",""-"",""-"""
"Torbay LA,""-"",""-"",""-"",""-"",""-"""
"Torridge LA,""-"",""-"",""-"",""-"",""-"""
"Tower Hamlets LA,""-"",""-"",""-"",""-"",""-"""
"Trafford LA,""-"",""-"",""-"",""-"",""-"""
"Tunbridge Wells LA,""-"",""17.9%"",""34.8%"",""35.0%"",""-"""
"Uttlesford LA,""11.4%"",""12.6%"",""25.1%"",""39.4%"",""11.6%"""
"Vale of White Horse LA,""-"",""-"",""-"",""-"",""-"""
"Wakefield LA,""10.0%"",""24.8%"",""27.3%"",""24.7%"",""13.2%"""
"Walsall LA,""-"",""-"",""-"",""-"",""-"""
"Waltham Forest LA,""-"",""-"",""-"",""-"",""-"""
"Wandsworth LA,""-"",""-"",""-"",""-"",""-"""
"Warrington LA,""-"",""-"",""-"",""-"",""-"""
"Warwick LA,""-"",""-"",""-"",""-"",""-"""
"Watford LA,""-"",""-"",""-"",""-"",""-"""
"Waverley LA,""-"",""25.1%"",""31.4%"",""30.2%"",""-"""
"Wealden LA,""10.9%"",""24.8%"",""27.4%"",""29.3%"",""7.5%"""
"Welwyn Hatfield LA,""-"",""-"",""-"",""-"",""-"""
"West Berkshire LA,""12.9%"",""24.7%"",""23.9%"",""30.5%"",""8.0%"""
"West Devon LA,""-"",""-"",""-"",""-"",""-"""
"West Lancashire LA,""-"",""27.5%"",""25.5%"",""29.3%"",""11.1%"""
"West Lindsey LA,""-"",""-"",""-"",""-"",""-"""
"West Oxfordshire LA,""-"",""-"",""-"",""-"",""-"""
"Westmorland and Furness LA,""-"",""24.3%"",""30.0%"",""24.4%"",""-"""
"West Suffolk LA,""-"",""-"",""-"",""-"",""-"""
"Westminster LA,""-"",""-"",""-"",""-"",""-"""
"Wigan LA,""11.6%"",""22.3%"",""26.8%"",""27.3%"",""12.0%"""
"Wiltshire LA,""9.5%"",""25.9%"",""30.8%"",""27.6%"",""6.2%"""
"Winchester LA,""-"",""-"",""-"",""-"",""-"""
"Windsor and Maidenhead LA,""-"",""-"",""-"",""-"",""-"""
"Wirral LA,""-"",""-"",""-"",""-"",""-"""
"Woking LA,""-"",""-"",""-"",""-"",""-"""
"Wokingham LA,""-"",""-"",""-"",""-"",""-"""
"Wolverhampton LA,""-"",""-"",""-"",""-"",""-"""
"Worcester LA,""-"",""-"",""-"",""-"",""-"""
"Worthing LA,""-"",""-"",""-"",""-"",""-"""
"Wychavon LA,""-"",""-"",""-"",""-"",""-"""
"Wyre LA,""-"",""18.6%"",""30.4%"",""30.0%"",""-"""
"Wyre Forest LA,""-"",""-"",""-"",""-"",""-"""
"York LA,""-"",""-"",""-"",""-"",""-"""
"North Northamptonshire LA,""9.5%"",""24.9%"",""25.6%"",""31.4%"",""8.5%"""
"West Northamptonshire LA,""11.9%"",""26.8%"",""23.8%"",""28.3%"",""9.2%"""
"Folkestone and Hythe LA,""-"",""-"",""-"",""-"",""-"""
"Cambridgeshire CC,""13.8%"",""21.1%"",""26.9%"",""29.2%"",""9.0%"""
"Cumbria CC,""11.1%"",""21.8%"",""27.3%"",""28.7%"",""11.2%"""
"Derbyshire CC,""15.2%"",""25.4%"",""24.3%"",""27.4%"",""7.7%"""
"Devon CC,""12.9%"",""25.2%"",""26.6%"",""24.7%"",""10.6%"""
"East Sussex CC,""13.0%"",""26.1%"",""26.8%"",""27.0%"",""7.2%"""
"Essex CC,""11.0%"",""21.2%"",""27.9%"",""30.1%"",""9.8%"""
"Gloucestershire CC,""10.3%"",""19.1%"",""28.5%"",""32.4%"",""9.8%"""
"Hampshire CC,""13.3%"",""25.6%"",""23.6%"",""29.1%"",""8.3%"""
"Hertfordshire CC,""6.9%"",""21.5%"",""26.0%"",""35.9%"",""9.7%"""
"Kent CC,""8.9%"",""24.2%"",""28.7%"",""29.7%"",""8.5%"""
"Lancashire CC,""8.5%"",""23.8%"",""25.3%"",""30.1%"",""12.2%"""
"Leicestershire CC,""10.7%"",""24.8%"",""25.9%"",""26.8%"",""11.8%"""
"Lincolnshire CC,""8.4%"",""22.7%"",""28.0%"",""31.4%"",""9.6%"""
"Norfolk CC,""11.7%"",""27.9%"",""29.7%"",""26.5%"",""4.2%"""
"North Yorkshire CC,""11.7%"",""25.4%"",""27.5%"",""30.0%"",""-"""
"Nottinghamshire CC,""15.2%"",""26.2%"",""24.8%"",""23.1%"",""10.6%"""
"Oxfordshire CC,""14.0%"",""26.6%"",""26.9%"",""25.2%"",""7.3%"""
"Somerset CC,""6.7%"",""20.7%"",""30.5%"",""32.1%"",""10.0%"""
"Staffordshire CC,""9.1%"",""27.7%"",""23.9%"",""27.7%"",""11.6%"""
"Suffolk CC,""12.0%"",""24.0%"",""26.3%"",""29.4%"",""8.3%"""
"Surrey CC,""10.6%"",""25.3%"",""27.8%"",""28.0%"",""8.3%"""
"Warwickshire CC,""-"",""19.5%"",""20.8%"",""41.7%"",""12.3%"""
"West Sussex CC,""-"",""-"",""-"",""-"",""-"""
"Worcestershire CC,""15.9%"",""25.4%"",""28.0%"",""21.8%"",""8.9%"""
"Most deprived decile,""12.9%"",""23.0%"",""26.9%"",""25.9%"",""11.3%"""
"Second most deprived decile,""12.2%"",""22.9%"",""24.3%"",""29.2%"",""11.4%"""
"Third most deprived decile,""11.4%"",""24.6%"",""25.1%"",""27.9%"",""10.9%"""
